open_ts,open_price,highest_price,lowest_price,close_price,volume,close_ts,turnover,trade_num,buy_vol,buy_turnover,ignore
1633017600000,43126.77,43173.43,43101.36,43119.10,494.658,1633017659999,21340101.25030,3785,278.956,12035248.03097,0
1633017660000,43119.10,43124.30,43033.99,43034.00,372.279,1633017719999,16034903.49629,3282,117.122,5044990.60517,0
1633017720000,43033.99,43160.45,43033.99,43136.52,502.601,1633017779999,21662700.19940,3358,252.077,10865160.55885,0
1633017780000,43136.26,43141.73,43079.19,43136.67,293.057,1633017839999,12634458.07452,2398,108.362,4672042.54301,0
1633017840000,43136.66,43200.00,43115.60,43196.38,456.100,1633017899999,19690899.35552,3571,309.142,13346846.43724,0
1633017900000,43191.38,43193.93,43124.51,43145.57,241.367,1633017959999,10417052.57949,2163,150.503,6495283.16951,0
1633017960000,43145.56,43176.39,43122.83,43153.95,139.224,1633018019999,6007647.45551,1707,89.570,3865384.69144,0
1633018020000,43153.95,43170.01,43141.48,43163.10,127.569,1633018079999,5506177.44074,1183,32.746,1413251.09227,0
1633018080000,43163.10,43163.58,43115.04,43115.05,166.513,1633018139999,7182624.45246,1543,42.012,1812317.31306,0
1633018140000,43115.04,43120.00,43069.00,43078.49,277.120,1633018199999,11943244.88383,2255,50.963,2196076.54149,0
1633018200000,43078.49,43093.61,43052.53,43056.19,165.131,1633018259999,7113735.95366,1717,54.534,2349476.67771,0
1633018260000,43056.19,43069.90,42990.29,42997.39,343.497,1633018319999,14780885.85384,3288,114.407,4922987.37898,0
1633018320000,42997.38,43029.97,42952.08,43013.35,450.453,1633018379999,19364714.77248,3974,249.258,10716575.10352,0
1633018380000,43013.34,43039.36,42941.00,42960.18,348.236,1633018439999,14967002.72039,3330,151.779,6524255.61106,0
1633018440000,42960.17,42979.07,42905.50,42963.86,433.282,1633018499999,18606774.52833,4288,194.360,8347244.44593,0
1633018500000,42962.23,43015.63,42938.42,42954.36,299.046,1633018559999,12851658.73702,3324,181.681,7808627.58967,0
1633018560000,42955.83,42969.10,42911.05,42952.45,271.207,1633018619999,11645047.19869,2941,120.848,5189425.46122,0
1633018620000,42952.45,43000.00,42947.85,42991.75,129.041,1633018679999,5545698.44087,1846,95.007,4082971.44967,0
1633018680000,42991.75,43023.82,42982.14,42990.11,178.751,1633018739999,7687176.51149,2294,103.711,4460476.48006,0
1633018740000,42990.10,43028.47,42972.34,43028.46,171.085,1633018799999,7357036.29828,1654,126.040,5420522.59945,0
1633018800000,43027.65,43055.00,43014.12,43055.00,195.069,1633018859999,8394375.54053,1820,126.869,5459775.44107,0
1633018860000,43055.00,43055.00,43000.00,43031.97,105.898,1633018919999,4556121.61128,1272,51.710,2224588.44953,0
1633018920000,43031.97,43036.71,43010.35,43033.07,88.560,1633018979999,3810244.57340,1185,57.745,2484445.48365,0
1633018980000,43033.08,43033.08,42990.52,43025.76,127.479,1633019039999,5483131.98257,1582,50.598,2176442.12858,0
1633019040000,43025.76,43025.77,42972.58,42986.15,154.624,1633019099999,6648384.68384,1685,81.971,3524611.35939,0
1633019100000,42986.15,43029.56,42983.95,43027.87,90.592,1633019159999,3896616.59783,1111,51.197,2202217.46432,0
1633019160000,43027.88,43027.88,42986.17,42992.50,84.921,1633019219999,3652114.59633,1150,42.655,1834311.18899,0
1633019220000,42992.49,43007.00,42965.90,43005.88,120.862,1633019279999,5195141.44405,1255,47.759,2052849.85126,0
