open_ts,open_price,highest_price,lowest_price,close_price,volume,close_ts,turnover,trade_num,buy_vol,buy_turnover,ignore
1633018860000,43062.11000000,43062.79000000,43006.93000000,43043.51000000,12.54038000,1633018919999,539632.66578670,619,6.73123000,289646.74300780,0
1633018920000,43043.52000000,43047.95000000,43026.00000000,43041.61000000,13.94941000,1633018979999,600363.96894980,407,7.87556000,338954.09431420,0
1633018980000,43041.62000000,43044.80000000,43006.79000000,43031.99000000,24.18028000,1633019039999,1040286.53025770,740,15.01502000,645969.01887280,0
1633019040000,43032.00000000,43036.12000000,42986.00000000,42996.20000000,23.75028000,1633019099999,1021441.69970600,720,10.69689000,460034.70176330,0
1633019100000,42996.19000000,43044.13000000,42994.88000000,43037.95000000,17.11363000,1633019159999,736216.74495420,558,7.24521000,311670.00061340,0
1633019160000,43037.94000000,43039.00000000,42995.50000000,42999.25000000,9.81153000,1633019219999,422064.80107530,515,4.19096000,180268.76780830,0
1633019220000,42999.24000000,43020.30000000,42980.81000000,43014.34000000,14.07640000,1633019279999,605194.56603040,618,6.36621000,273697.23496220,0
1633019280000,43014.34000000,43033.85000000,42999.25000000,43000.13000000,11.38675000,1633019339999,489808.83190610,476,3.78382000,162746.11953180,0
1633019340000,43000.13000000,43007.21000000,42954.29000000,42954.29000000,22.12284000,1633019399999,950937.99234940,745,6.18572000,265875.96898870,0
1633019400000,42954.30000000,42959.31000000,42890.08000000,42913.47000000,72.67278000,1633019459999,3118963.20657070,1504,22.71046000,974595.37284350,0
1633019460000,42913.46000000,42927.14000000,42895.41000000,42916.76000000,11.41818000,1633019519999,489893.15533750,682,7.37793000,316538.41491470,0
1633019520000,42915.17000000,42923.51000000,42893.32000000,42906.62000000,11.78753000,1633019579999,505765.58143500,535,3.21203000,137827.54117380,0
1633019580000,42906.62000000,42938.50000000,42833.29000000,42880.01000000,69.86326000,1633019639999,2995690.15651270,1640,32.97701000,1414696.88015730,0
1633019640000,42880.00000000,42952.39000000,42819.86000000,42940.00000000,128.99317000,1633019699999,5530954.54448890,1642,25.95771000,1113497.05083390,0
1633019700000,42940.01000000,42980.00000000,42909.07000000,42970.71000000,18.32560000,1633019759999,786855.22360750,828,11.79859000,506590.41018850,0
1633019760000,42970.72000000,42972.15000000,42903.13000000,42924.54000000,19.40511000,1633019819999,833097.42591100,714,9.69530000,416221.41601700,0
1633019820000,42924.53000000,42931.14000000,42900.00000000,42916.38000000,8.92574000,1633019879999,383008.87212560,565,4.86535000,208769.55822950,0
1633019880000,42916.37000000,42942.90000000,42887.43000000,42917.71000000,72.94490000,1633019939999,3129705.92513010,796,50.80625000,2179794.39600840,0
1633019940000,42917.71000000,42918.81000000,42899.99000000,42916.00000000,8.04525000,1633019999999,345227.95881920,531,3.36585000,144433.26221110,0
1633020000000,42916.00000000,42916.62000000,42859.69000000,42863.52000000,20.86753000,1633020059999,895096.77656700,641,7.25735000,311251.56988940,0
1633020060000,42863.52000000,42902.42000000,42849.99000000,42895.22000000,30.34318000,1633020119999,1300915.77903410,734,14.53370000,623185.34776310,0
1633020120000,42895.22000000,42926.34000000,42876.15000000,42909.91000000,20.61536000,1633020179999,884483.67837210,494,9.25537000,397116.93683870,0
1633020180000,42910.97000000,42932.50000000,42910.97000000,42921.70000000,11.29823000,1633020239999,484931.91339070,523,7.51307000,322472.52226360,0
1633020240000,42921.70000000,42924.61000000,42907.03000000,42914.63000000,10.68818000,1633020299999,458714.78817640,457,3.52382000,151229.54360700,0
1633020300000,42914.62000000,42940.00000000,42912.24000000,42921.72000000,11.64288000,1633020359999,499776.30976680,616,6.38033000,273869.91835290,0
1633020360000,42921.72000000,42925.84000000,42880.11000000,42896.72000000,9.55537000,1633020419999,409903.46103560,511,5.30791000,227675.42991310,0
1633020420000,42894.88000000,42938.21000000,42892.61000000,42924.08000000,16.74234000,1633020479999,718569.83051980,590,9.33851000,400803.42136700,0
1633020480000,42924.08000000,42965.00000000,42912.05000000,42950.11000000,26.35561000,1633020539999,1131929.26900050,830,12.69958000,545404.22679050,0
1633020540000,42950.11000000,42954.09000000,42931.11000000,42948.79000000,23.13532000,1633020599999,993448.95634960,763,13.34947000,573228.15400400,0
1633020600000,42948.78000000,42997.77000000,42944.82000000,42989.38000000,20.61482000,1633020659999,886018.18711070,809,9.86989000,424229.93186610,0
1633020660000,42990.58000000,42990.59000000,42936.73000000,42963.43000000,33.14641000,1633020719999,1424011.01255670,833,17.17017000,737581.06496490,0
1633020720000,42963.43000000,42963.44000000,42941.39000000,42952.05000000,34.72607000,1633020779999,1491839.77723720,527,2.65079000,113845.27835750,0
1633020780000,42956.56000000,42956.56000000,42922.87000000,42949.89000000,15.19631000,1633020839999,652544.27257610,625,7.41657000,318466.99115980,0
1633020840000,42949.90000000,42957.96000000,42942.02000000,42953.29000000,8.21752000,1633020899999,352950.98482850,441,5.16514000,221853.52455920,0
1633020900000,42953.28000000,42954.74000000,42899.05000000,42899.05000000,35.68469000,1633020959999,1531823.68131180,741,4.92566000,211427.85595650,0
1633020960000,42899.06000000,42914.80000000,42896.81000000,42900.67000000,7.71772000,1633021019999,331131.59735410,443,3.59663000,154315.86063580,0
1633021020000,42900.66000000,42929.00000000,42894.66000000,42909.93000000,17.15372000,1633021079999,736078.57300060,648,8.32863000,357412.78860390,0
1633021080000,42911.49000000,42930.17000000,42901.21000000,42909.46000000,10.04068000,1633021139999,430875.77817280,545,7.04299000,302223.32361520,0
1633021140000,42909.46000000,42956.95000000,42906.85000000,42950.67000000,14.59556000,1633021199999,626646.22533050,591,9.47117000,406628.58370590,0
1633021200000,42950.66000000,42995.12000000,42933.29000000,42976.44000000,28.52508000,1633021259999,1225635.84352640,896,18.66959000,802137.96076520,0
1633021260000,42976.44000000,42981.04000000,42956.00000000,42959.39000000,13.59733000,1633021319999,584194.58681250,655,8.80035000,378094.39309730,0
1633021320000,42959.38000000,42970.63000000,42937.70000000,42970.63000000,14.73830000,1633021379999,633147.42320550,700,7.30384000,313746.28574450,0
1633021380000,42970.63000000,42990.00000000,42950.01000000,42990.00000000,14.39726000,1633021439999,618696.77609800,639,10.28780000,442112.20268120,0
1633021440000,42989.99000000,43193.50000000,42989.99000000,43185.63000000,93.99918000,1633021499999,4052555.22580000,2074,71.28668000,3073493.95380430,0
1633021500000,43185.62000000,43198.00000000,43073.76000000,43086.26000000,40.17624000,1633021559999,1732445.03669130,1178,17.13511000,738777.36944740,0
1633021560000,43086.27000000,43129.75000000,43030.25000000,43127.59000000,42.25898000,1633021619999,1820075.59694980,980,24.67652000,1062763.76752720,0
1633021620000,43127.59000000,43194.64000000,43127.59000000,43156.22000000,49.10989000,1633021679999,2119760.36680540,1215,22.48769000,970570.11098630,0
1633021680000,43156.22000000,43200.00000000,43153.64000000,43187.36000000,29.77856000,1633021739999,1285613.54640360,753,18.36050000,792728.58397570,0
1633021740000,43187.36000000,43314.50000000,43175.65000000,43230.88000000,80.06021000,1633021799999,3463377.43855280,2104,57.40466000,2483421.85847680,0
1633021800000,43225.30000000,43238.43000000,43181.80000000,43186.51000000,20.30804000,1633021859999,877696.89993370,741,10.54245000,455639.92188720,0
1633021860000,43186.52000000,43261.72000000,43168.05000000,43261.72000000,29.50524000,1633021919999,1275235.00986580,835,18.78117000,811702.24084020,0
1633021920000,43260.08000000,43276.44000000,43229.16000000,43229.16000000,81.41319000,1633021979999,3521998.33910210,796,23.51000000,1016999.91798660,0
1633021980000,43229.17000000,43230.62000000,43171.65000000,43199.95000000,43.97561000,1633022039999,1900219.39229910,785,12.68245000,547968.46153260,0
1633022040000,43199.96000000,43222.49000000,43195.86000000,43205.66000000,22.61297000,1633022099999,977246.97777250,538,6.55790000,283356.99908080,0
1633022100000,43205.66000000,43216.41000000,43155.90000000,43162.58000000,28.57394000,1633022159999,1234143.80747600,813,10.54555000,455398.25796690,0
1633022160000,43163.33000000,43199.99000000,43139.17000000,43143.21000000,18.69556000,1633022219999,806987.70666300,671,10.53474000,454721.24853050,0
1633022220000,43144.44000000,43144.44000000,43100.00000000,43121.45000000,13.61189000,1633022279999,586881.07014520,718,4.46361000,192451.10170750,0
1633022280000,43121.45000000,43123.13000000,43092.05000000,43096.79000000,9.62802000,1633022339999,415052.54890290,527,4.74214000,204418.04283640,0
1633022340000,43097.44000000,43168.36000000,43097.44000000,43133.31000000,34.04743000,1633022399999,1468262.62009310,902,15.09498000,651027.86941010,0
1633022400000,43133.30000000,43144.36000000,43096.47000000,43129.89000000,16.34784000,1633022459999,704963.52458760,702,9.19320000,396440.68617030,0
1633022460000,43129.89000000,43156.31000000,43128.05000000,43142.33000000,8.81466000,1633022519999,380274.82008450,478,2.45969000,106114.78740780,0
1633022520000,43142.33000000,43142.33000000,43091.42000000,43096.07000000,14.63395000,1633022579999,630874.73442120,466,5.12865000,221085.76885770,0
1633022580000,43092.83000000,43118.41000000,43086.00000000,43118.41000000,17.64289000,1633022639999,760391.61201230,615,9.99763000,430920.69049140,0
1633022640000,43118.41000000,43121.00000000,43100.01000000,43118.99000000,7.97844000,1633022699999,343948.67974240,440,4.05587000,174851.13219710,0
1633022700000,43119.00000000,43125.46000000,43077.00000000,43077.01000000,11.91593000,1633022759999,513502.01202750,656,4.34976000,187487.76766980,0
1633022760000,43077.00000000,43077.01000000,43028.49000000,43029.01000000,32.47918000,1633022819999,1398510.55789020,890,7.97311000,343210.07979840,0
1633022820000,43032.59000000,43083.09000000,43025.34000000,43049.01000000,16.69975000,1633022879999,718787.40148490,763,9.69597000,417329.08203960,0
1633022880000,43049.01000000,43057.04000000,43025.36000000,43025.40000000,10.33948000,1633022939999,445052.72450330,519,3.57294000,153782.97661910,0
1633022940000,43027.60000000,43039.59000000,43000.01000000,43017.60000000,18.19688000,1633022999999,782811.80582790,756,8.00968000,344548.29109990,0
1633023000000,43017.61000000,43041.86000000,43000.28000000,43010.64000000,13.66271000,1633023059999,587736.83811910,617,9.00458000,387357.69558420,0
1633023060000,43010.64000000,43010.64000000,42906.69000000,42952.80000000,136.21881000,1633023119999,5851228.53654900,1526,19.21534000,825535.01111350,0
1633023120000,42952.80000000,43029.00000000,42933.22000000,43008.38000000,43.11320000,1633023179999,1853664.26445920,934,29.61835000,1273348.67494610,0
1633023180000,43008.38000000,43099.99000000,43008.38000000,43075.65000000,24.65726000,1633023239999,1061762.52880970,810,16.98503000,731309.09194490,0
1633023240000,43075.65000000,43087.90000000,43059.36000000,43084.42000000,12.20894000,1633023299999,525895.51105540,476,6.07536000,261705.58276780,0
1633023300000,43084.42000000,43151.00000000,43030.51000000,43134.09000000,132.88541000,1633023359999,5724395.66288130,1456,35.99039000,1550682.54362350,0
1633023360000,43134.10000000,43228.77000000,43130.01000000,43189.64000000,67.70777000,1633023419999,2924378.50812530,1411,45.11233000,1948255.77119490,0
1633023420000,43186.77000000,43223.00000000,43163.00000000,43175.25000000,19.44045000,1633023479999,839683.20606940,735,11.23100000,485069.39386480,0
1633023480000,43175.26000000,43223.88000000,43168.39000000,43223.87000000,38.15070000,1633023539999,1648038.80501000,804,21.25837000,918317.38921840,0
1633023540000,43223.87000000,43279.98000000,43205.13000000,43231.01000000,55.36302000,1633023599999,2394813.66961900,1011,21.47207000,928477.41158690,0
1633023600000,43231.02000000,43280.61000000,43220.42000000,43280.60000000,17.36788000,1633023659999,751233.26159540,633,11.51952000,498274.85818400,0
1633023660000,43277.57000000,43289.72000000,43218.92000000,43236.09000000,51.80525000,1633023719999,2240908.61281030,1021,16.07968000,695436.09963620,0
1633023720000,43236.08000000,43400.00000000,43236.08000000,43386.49000000,150.21205000,1633023779999,6510053.17919610,2390,110.91795000,4806464.18614880,0
1633023780000,43386.50000000,43396.33000000,43250.00000000,43254.51000000,53.85699000,1633023839999,2332141.86265860,1174,23.93131000,1036039.78941420,0
1633023840000,43254.51000000,43318.12000000,43250.00000000,43263.59000000,30.95387000,1633023899999,1339852.07529450,831,13.23719000,572956.39874600,0
1633023900000,43265.50000000,43296.12000000,43247.48000000,43290.69000000,21.47965000,1633023959999,929379.14789320,584,15.12149000,654268.85446240,0
1633023960000,43290.69000000,43292.85000000,43270.42000000,43278.19000000,9.37273000,1633024019999,405674.66677890,472,4.69779000,203318.60098060,0
1633024020000,43278.18000000,43283.39000000,43252.80000000,43260.01000000,14.85564000,1633024079999,642718.92559980,603,9.38989000,406244.48011250,0
1633024080000,43260.01000000,43284.48000000,43247.26000000,43279.36000000,16.42768000,1633024139999,710779.21287780,538,9.51754000,411781.95600900,0
1633024140000,43279.99000000,43350.00000000,43277.98000000,43330.00000000,37.69834000,1633024199999,1633025.31485230,636,25.78769000,1117120.42384980,0
1633024200000,43330.01000000,43344.00000000,43287.00000000,43298.87000000,12.89022000,1633024259999,558322.18367020,554,6.74277000,292035.35857460,0
1633024260000,43299.60000000,43315.39000000,43236.09000000,43245.56000000,15.01324000,1633024319999,649685.50556260,623,5.93589000,256895.82395460,0
1633024320000,43245.55000000,43257.77000000,43243.48000000,43250.96000000,7.69637000,1633024379999,332881.37760990,424,4.41794000,191086.11114970,0
1633024380000,43250.96000000,43273.44000000,43236.08000000,43261.67000000,12.42648000,1633024439999,537397.77054600,591,7.23840000,313046.05066440,0
1633024440000,43261.67000000,43399.00000000,43255.83000000,43384.75000000,31.78150000,1633024499999,1377296.06255430,948,18.32485000,793975.60989430,0
1633024500000,43385.75000000,43400.00000000,43341.16000000,43360.82000000,35.41048000,1633024559999,1535827.09429990,877,24.03296000,1042327.48097630,0
1633024560000,43360.83000000,43360.83000000,43336.96000000,43339.99000000,15.26877000,1633024619999,661819.34789470,601,6.35441000,275423.68061760,0
1633024620000,43340.00000000,43366.06000000,43334.71000000,43339.95000000,19.16821000,1633024679999,830873.28027490,554,11.99384000,519868.71607490,0
1633024680000,43336.14000000,43373.42000000,43333.01000000,43345.00000000,13.89695000,1633024739999,602365.99645780,572,8.28337000,358993.60849810,0
1633024740000,43345.00000000,43347.12000000,43326.48000000,43333.12000000,17.34330000,1633024799999,751611.82309180,616,8.28976000,359251.85166790,0
1633024800000,43333.12000000,43389.00000000,43287.58000000,43369.48000000,30.04187000,1633024859999,1302295.76173620,880,15.15341000,656853.62447990,0
1633024860000,43369.47000000,43413.40000000,43365.74000000,43371.60000000,35.38723000,1633024919999,1535301.15117300,1021,27.48610000,1192535.13988970,0
1633024920000,43371.61000000,43373.73000000,43347.49000000,43354.58000000,13.00855000,1633024979999,564064.86967150,735,6.00297000,260300.26690270,0
1633024980000,43354.59000000,43380.00000000,43300.70000000,43300.71000000,21.34553000,1633025039999,925162.46908510,830,9.20864000,399094.37236630,0
1633025040000,43300.71000000,43390.00000000,43294.63000000,43390.00000000,20.22015000,1633025099999,876418.67949080,864,12.81049000,555226.61390240,0
1633025100000,43390.00000000,43408.71000000,43370.88000000,43392.28000000,24.08210000,1633025159999,1044979.84989150,828,15.79305000,685319.87443760,0
1633025160000,43392.29000000,43399.28000000,43351.23000000,43382.13000000,15.77812000,1633025219999,684412.46072970,695,6.95189000,301581.87870570,0
1633025220000,43382.13000000,43428.00000000,43364.79000000,43424.37000000,29.64927000,1633025279999,1286871.49302100,1031,15.38954000,668025.42795750,0
1633025280000,43424.37000000,43460.00000000,43406.47000000,43414.50000000,33.37763000,1633025339999,1449783.99972200,1055,17.62921000,765786.07796200,0
1633025340000,43414.49000000,43469.67000000,43414.49000000,43446.38000000,42.34684000,1633025399999,1839787.24827330,1210,22.09892000,960111.58368820,0
1633025400000,43446.38000000,43473.45000000,43413.08000000,43422.00000000,16.78877000,1633025459999,729412.90300250,865,11.26454000,489387.19478200,0
1633025460000,43422.00000000,43428.37000000,43365.32000000,43372.31000000,17.70593000,1633025519999,768444.94670650,863,7.15618000,310570.60489970,0
1633025520000,43372.31000000,43402.36000000,43353.30000000,43402.36000000,24.67458000,1633025579999,1070459.90946610,767,18.83661000,817204.34003880,0
1633025580000,43402.36000000,43431.98000000,43402.35000000,43409.68000000,11.53845000,1633025639999,500942.02774110,648,7.02849000,305134.46398970,0
1633025640000,43409.69000000,43409.70000000,43365.61000000,43374.52000000,30.99344000,1633025699999,1344635.53890140,806,7.07550000,306973.11603300,0
1633025700000,43374.53000000,43381.00000000,43317.26000000,43317.26000000,13.33654000,1633025759999,578084.99112580,967,4.87374000,211275.30348400,0
1633025760000,43316.39000000,43343.58000000,43310.41000000,43316.39000000,13.87555000,1633025819999,601280.27989400,707,8.35399000,362008.81547780,0
1633025820000,43316.40000000,43329.81000000,43307.57000000,43325.61000000,21.40124000,1633025879999,927106.11858240,791,10.81006000,468305.31854550,0
1633025880000,43323.19000000,43343.56000000,43313.66000000,43332.85000000,11.78499000,1633025939999,510632.53950040,686,7.36191000,318979.49148620,0
1633025940000,43332.85000000,43341.54000000,43305.88000000,43307.40000000,9.13420000,1633025999999,395784.45117190,619,4.32226000,187286.66655410,0
1633026000000,43307.40000000,43328.11000000,43305.83000000,43309.15000000,9.79827000,1633026059999,424415.42472190,557,3.17192000,137389.32048110,0
1633026060000,43309.14000000,43334.37000000,43306.54000000,43321.75000000,8.16534000,1633026119999,353724.65744640,556,5.18369000,224542.91724630,0
1633026120000,43321.77000000,43328.60000000,43306.53000000,43306.53000000,7.15069000,1633026179999,309780.72845400,508,2.42777000,105179.29106290,0
1633026180000,43306.53000000,43312.45000000,43285.37000000,43285.37000000,14.74386000,1633026239999,638404.84146720,728,6.68383000,289398.35869440,0
1633026240000,43285.38000000,43286.99000000,43266.63000000,43270.50000000,13.68544000,1633026299999,592219.79771150,663,8.10389000,350682.56068460,0
1633026300000,43270.51000000,43316.33000000,43261.84000000,43309.88000000,19.51176000,1633026359999,844378.41446040,623,9.61428000,416056.77185610,0
1633026360000,43309.87000000,43346.00000000,43290.82000000,43327.20000000,25.99221000,1633026419999,1125942.70401560,734,16.40820000,710729.20516090,0
1633026420000,43327.20000000,43344.09000000,43300.07000000,43327.76000000,12.62214000,1633026479999,546817.63574570,610,6.30875000,273304.94516340,0
1633026480000,43327.76000000,43349.99000000,43315.16000000,43337.81000000,11.31970000,1633026539999,490510.90659210,535,6.37191000,276109.31227630,0
1633026540000,43337.81000000,43442.05000000,43335.00000000,43397.54000000,56.69483000,1633026599999,2460276.81262580,1386,36.46803000,1582127.84458040,0
1633026600000,43397.54000000,43450.00000000,43368.19000000,43446.33000000,18.59451000,1633026659999,807203.83633340,799,13.11262000,569215.25074130,0
1633026660000,43446.32000000,43460.00000000,43394.52000000,43455.29000000,45.80070000,1633026719999,1989320.68290530,1238,27.19989000,1181377.21633070,0
1633026720000,43452.00000000,43564.15000000,43451.48000000,43503.99000000,215.74177000,1633026779999,9387791.51474670,3423,149.66751000,6512000.80459990,0
1633026780000,43503.99000000,43588.71000000,43470.73000000,43578.70000000,60.57617000,1633026839999,2637278.11449140,1677,38.50756000,1676180.45386760,0
1633026840000,43578.69000000,43579.20000000,43515.62000000,43525.01000000,35.44353000,1633026899999,1543630.37923150,1099,16.05881000,699471.90443980,0
1633026900000,43525.01000000,43529.35000000,43502.53000000,43518.35000000,28.92166000,1633026959999,1258475.28794910,879,22.40526000,974906.82823260,0
1633026960000,43518.35000000,43521.54000000,43451.99000000,43455.88000000,25.50774000,1633027019999,1109471.12879430,1038,8.91246000,387646.62873370,0
1633027020000,43455.89000000,43522.02000000,43455.88000000,43480.00000000,29.49867000,1633027079999,1283043.65574370,879,14.57436000,633890.01368290,0
1633027080000,43480.01000000,43585.28000000,43480.01000000,43585.28000000,44.19479000,1633027139999,1923993.43680830,1226,32.20730000,1402044.49388860,0
1633027140000,43585.27000000,43650.00000000,43523.40000000,43622.16000000,111.42458000,1633027199999,4857469.43105670,2637,63.29609000,2759297.51931280,0
1633027200000,43624.10000000,43750.00000000,43601.09000000,43716.01000000,153.64518000,1633027259999,6711260.01584020,3621,109.33577000,4775419.28403380,0
1633027260000,43716.00000000,43870.00000000,43688.93000000,43836.17000000,202.95861000,1633027319999,8885999.73043980,4770,140.27630000,6142062.37435930,0
1633027320000,43836.16000000,43950.00000000,43836.16000000,43864.22000000,230.82780000,1633027379999,10133630.58117380,7739,164.32501000,7213750.08811330,0
1633027380000,43862.09000000,43935.36000000,43854.87000000,43854.87000000,101.16302000,1633027439999,4440242.98527060,2181,53.62902000,2353840.76807090,0
